Company	Major	Grade	Award	Semester	Need/No Need	Rexburg	Rigby	Idaho Falls	IF	Sugar City	St Anthony	Ammon	Blackfoot	Pocatello	Driggs	Refs	Location	Paid/Unpaid	International?	Married?	Scheduled hours			Notes				
			184	SP22	No Need	Rexburg											Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Rexburg with no need	20	 in Rexburg	32	43
			375	SP22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in WA with no need, but travel expense	40	 in WA	30	36
			250	SP22	Need												Outside	Paid			working 40 	9	20	Single, working 40 hrs/wk. a week, paid, Pingree, ID, travel expense	40	#VALUE!	#VALUE!	#VALUE!
			500	SP22	No Need												Outside	Paid		Yes	working 50 	10	21	Married, working 50 hrs/wk. a week paid, AZ, no need cut in half, travel expense	50	#VALUE!	57	#VALUE!
			184	SP22	No Need												Outside	Paid		Yes	working 40 	10	21	Married, working 40 hrs/wk. a week paid, remote, no need cut in half.	40	#VALUE!	61	#VALUE!
			750	SP22	Need												Outside	Paid			working 40 	9	20	Single, working 40 hrs/wk. a week paid, Austin, TX, travel expense.	40	#VALUE!	#VALUE!	#VALUE!
			250	SP22	Need												Outside	Paid			working 40 	9	20	Single, working 40 hrs/wk. a week paid, Indiana.	40	#VALUE!	#VALUE!	#VALUE!
			750	SP22	Need												Outside	Paid			working 20 	9	20	Single, working 20 hrs/wk. a week paid, WY, travel expense.	20	#VALUE!	#VALUE!	#VALUE!
			250	SP22	No Need												Outside	Paid			working 40 	9	20	Single, working 40 hrs/wk. a week paid, Ogden, UT, no need cut in half, travel expense.	40	#VALUE!	63	#VALUE!
			184	SP22	Need												Outside	Unpaid			working 21-28 	9	23	Single, working 21-28 hrs/wk. a week unpaid, MO, living with family, travel expense.	28	#VALUE!	#VALUE!	56
			375	SP22	No Need												Outside	Paid			working 40 	9	20	Single, working 40 hrs/wk. a week paid, AZ, no need cut in half, travel expense.	40	#VALUE!	56	#VALUE!
			375	SP22	No Need												Outside	Unpaid		Yes	working 20 	10	21	Married, working 20 hrs/wk. a week unpaid, Idaho Fall, no need cut in half, travel expense.	20	#VALUE!	67	#VALUE!
			250	SP22	No Need			Idaho Falls									Eastern Idaho	Paid		Yes	working 25-35 	10	24	Married, working 25-35 hrs/wk. a week paid, Idaho Falls, no need cut in half, travel expense.	35	#VALUE!	69	#VALUE!
			375	SP22	No Need			Idaho Falls									Eastern Idaho	Paid		Yes	working 40 	26	37	Married with 2 children, working 40 hrs/wk. a week paid, Idaho Falls, no need cut in half, travel expense.	40	#VALUE!	82	8
			1,000.00	SP22	Need			Idaho Falls									Eastern Idaho	Unpaid		Yes	working 22 	23	34	Married with 1 child, working 22 hrs/wk. a week unpaid, Idaho Falls, travel expense.	22	#VALUE!	#VALUE!	8
			184	SP22	No Need	Rexburg											Eastern Idaho	Paid	Yes		working 40 	24	35	Single, International, working 40 hrs/wk. a week paid, Rexburg, no need cut in half, travel expense, working remote.	40	#VALUE!	76	#VALUE!
			375	SP22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in AZ with no need but travel expense	40	 in AZ	30	36
			184	SP22	No Need												Outside	Paid			working 35 	8	19	Single working 35 hrs/wk paid in UT living with family, no need, but travel expense	35	 in UT living	30	43
			250	SP22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in UT with no need, but travel expense	40	 in UT	30	36
			375	SP22	No Need			Idaho Falls									Eastern Idaho	Paid		Yes	working 40 	9	20	married working 40 hrs/wk paid in Idaho falls with no need, but travel expense, and 	40	 in Idaho falls	31	46
			250	SP22	Need			Idaho Falls									Eastern Idaho	Paid			working 25 	8	19	Single working 25 hrs/wk paid in Idaho Falls with travel expense	25	 in Idaho Falls	30	45
			500	SP22	No Need												Outside	Paid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk paid in UT with no need, but travel expense	40	 in UT	45	51
			500	SP22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in WA with no need, but travel expense	40	 in WA	31	37
			1,250.00	SP22	Need												Outside	Unpaid			working 40 	8	19	Single working 40 hrs/wk unpaid in OR with travel expense	40	 in OR	32	38
			184	SP22	No Need												Outside	Paid			working 30 	8	19	Single working 30 hrs/wk paid in TX living with family with travel expense and no need	30	 in TX living	30	43
			250	SP22	No Need		Rigby										Eastern Idaho	Paid		Yes	working 27 	9	20	Married working 27 hrs/wk paid in Rigby with no need, but have travel expense	27	 in Rigby	31	40
			500	SP22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in TX with no need but travel expense. 	40	 in TX	31	37
			2,500.00	SP22	Need												Outside	Paid		Yes	working 40 	20	31	Married with child working 40 hrs/wk paid in AZ with travel expense and high cost housing	40	#VALUE!	42	8
			500	SP22	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in TX with no need, but travel epenses	40	 in TX	44	50
			184	SP22	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 20 	9	20	Married working 20 hrs/wk paid in Rexburg with no need	20	 in Rexburg	31	42
			184	SP22	No Need												Outside	Paid			working 36 	8	19	Single working 36 hrs/wk paid in Vicinr living with family with no need	36	 in Vicinr living	30	47
			500	SP22	Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in UT with travel expense	40	 in UT	44	50
			750	SP22	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 35 	9	20	married working 35 hrs/wk unpaid in Rexburg 	35	#VALUE!	33	#VALUE!
			184	SP22	No Need	Rexburg											Eastern Idaho	Paid			working 30 	8	19	Single working 30 hrs/wk paid in Rexburg with no need	30	 in Rexburg	30	41
			500	SP22	No Need												Outside	Paid		Yes	working 40 	20	31	Married with child working 40 hrs/wk paid in Boise with no need, but travel expense	40	#VALUE!	42	8
WW/WeightWatchers (25)	Software Engineering (UG21-BS)	4th year undergraduate/senior	184	SP22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid remote with no need	40	#VALUE!	#VALUE!	38
			750	SP22	Need		Rigby										Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rigby with travel expense	20	 in Rigby	33	42
			750	SP22	Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in AK with travel expenses	40	 in AK	30	36
			500	SP22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in TX with no need, but travel expense	40	 in TX	31	37
			250	SP22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in UT with no need, but travel expense	40	 in UT	30	36
			184	SP22	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid remote with no need	40	#VALUE!	#VALUE!	51
			184	SP22	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Rexburg with no need	40	 in Rexburg	31	42
			184	SP22	No Need												Outside	Paid		Yes	working 40 	20	31	Married with child working 40 hrs/wk paid in WA living with family, with no need, but travel expense	40	#VALUE!	42	8
			250	SP22	Need	Rexburg											Eastern Idaho	Paid			working 20 	8	19	Single working 20 hrs/wk paid in Rexburg 	20	#VALUE!	30	#VALUE!
			250	SP22	Need		Rigby										Eastern Idaho	Paid			working 20 	8	19	Single working 20 hrs/wk paid in Rigby with travel expense	20	 in Rigby	30	39
			1,000.00	SP22	Need												Outside	Paid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk paid in UT with travel expense	40	 in UT	45	51
			375	SP22	No Need									Pocatello			Eastern Idaho	Paid		Yes	working 40 	20	31	Married with child working 40 hrs/wk paid in Pocatello with no need, but travel expense	40	#VALUE!	42	8
			250	SP22	No Need	Rexburg											Eastern Idaho	Unpaid			working 40 	8	19	Single working 40 hrs/wk unpaid in Rexburg with no need	40	 in Rexburg	32	43
			500	SP22	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in CA with no need, but travel expenses	40	 in CA	44	50
			250	SP22	No Need												Outside	Unpaid		Yes	working 20 	20	31	Married with child working 20 hrs/wk unpaid in UT living with family with no need, but travel expense	20	#VALUE!	44	8
			375	SP22	No Need			Idaho Falls									Eastern Idaho	Paid		Yes	working 30 	23	34	Married with children working 30 hrs/wkpaid in Idaho Falls with no need, but travel expense	30	#VALUE!	44	8
			500	SP22	No Need												Outside	Paid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk paid in UT with no need, but travel expense	40	 in UT	45	51
			500	SP22	No Need												Outside	Paid		Yes	working 20 	20	31	Married with child working 20 hrs/wk paid in AZ with no need, but travel expense	20	#VALUE!	42	8
			184	SP22	No Need												Outside	Paid			working 20 	8	19	Single working 20 hrs/wk paid working remote with no need	20	#VALUE!	#VALUE!	45
			500	SP22	Need			Idaho Falls									Eastern Idaho	Unpaid			working 22 	8	19	Single working 22 hrs/wk unpaid in Idaho Falls with travel expense	22	 in Idaho Falls	32	47
			500	SP22	Need	Rexburg											Eastern Idaho	Unpaid	Yes		working 20 	22	33	Single international working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	46	#VALUE!
			250	SP22	No Need			Idaho Falls									Eastern Idaho	Unpaid			working 30 	8	19	Single working 30 hrs/wk unpaid in Idaho Falls with no need and travel expense	30	 in Idaho Falls	32	47
			375	SP22	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rexburg with no need with travel expense	20	 in Rexburg	33	44
			375	SP22	No Need												Outside	Paid	Yes		working 40 	37	48	Marrie dwith children international working 40 hrs/wk paid remote with no need	40	#VALUE!	#VALUE!	66
			184	SP22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in Pingree ID with no need, but travel expense	40	 in Pingree ID	30	44
			500	SP22	No Need												Outside	Unpaid		Yes	working 40 	9	20	Married working 40 hrs/wk unpaid in AZ with no need, but travel expense	40	 in AZ	33	39
			375	SP22	No Need												Outside	Paid		Yes	working 40 	9	20	married working 40 hrs/wk paid in UT with no need, but travel expense	40	 in UT	31	37
			250	SP22	No Need		Rigby										Eastern Idaho	Paid		Yes	working 20 	9	20	Married working 20 hrs/wk paid in Rigby with no need, but travel expense	20	 in Rigby	31	40
			184	SP22	No Need												Outside	Paid			working 35 	8	19	Single working 35 hrs/wk paid in Kansas City living with family with no need, but travel expense	35	 in Kansas City living	30	52
			250	SP22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in UT with no need, but travel exppense	40	 in UT	30	36
			375	SP22	No Need												Outside	Paid		Yes	working 30 	9	20	Married working 30 hrs/wk paid in UT with no need, but travel expenses	30	 in UT	31	37
			375	SP22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in UT with no need, but travel expense	40	 in UT	31	37
			250	SP22	Need	Rexburg											Eastern Idaho	Paid	Yes		working 20 	22	33	Single international working 20 hrs/wk paid in Rexburg 	20	#VALUE!	44	#VALUE!
			500	SP22	No Need												Outside	Paid		Yes	working 40 	20	31	Married with child working 40 hrs/wk paid in UT with no need, but travel expense	40	#VALUE!	42	8
			500	SP22	Need		Rigby										Eastern Idaho	Paid		Yes	working 30 	9	20	Married working 30 hrs/wk paid in Rigby with travel expesnse	30	 in Rigby	31	40
			1,000.00	SP22	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 25 	23	34	Married with children working 25 hrs/wk unpaid in Rexburg wtih travel expense	25	#VALUE!	47	8
			184	SP22	No Need	Rexburg											Eastern Idaho	Paid			working 20 	8	19	Single working 20 hrs/wk paid in Rexburg with no need 	20	 in Rexburg	30	41
			500	SP22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in NM with no need, but travel expenses	40	 in NM	31	37
			500	SP22	No Need												Outside	Paid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk paid in UT with no need, but travel expense	40	 in UT	45	51
			500	SP22	Need			Idaho Falls									Eastern Idaho	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Idaho Falls with travel expense	40	 in Idaho Falls	31	46
			184	SP22	No Need	Rexburg											Eastern Idaho	Paid			working 40 	8	19	Single working 40 hrs/wk paid in Rexburg with no need	40	 in Rexburg	30	41
			184	SP22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in UT living with family, with no need, but travel expense	40	 in UT living	30	43
			184	SP22	No Need	Rexburg											Eastern Idaho	Paid			working 40-60 	8	22	Single working 40-60 hrs/wk paid in rexburg with no need, with traqvel expense	60	 in rexburg	33	44
			184	SP22	No Need												Outside	Paid			working 39 	8	19	Single working 39 hrs/wk paid in MA living with family, with no need, with travel expense	39	 in MA living	30	43
			1,000.00	SP22	Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in FL with travel expense	40	 in FL	31	37
			250	SP22	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Rexburg with no need, with travel expenses	40	 in Rexburg	31	42
			500	SP22	Need												Outside	Paid		Yes	working 23 	9	20	Married working 23 hrs/wk paid in SE Idaho with travel expense	23	 in SE Idaho	31	43
			184	SP22	No Need								Blackfoot				Eastern Idaho	Paid			working 42 	8	19	Single working 42 hrs/wk paid in Blackfoot living with family, with no need, with travel expense	42	 in Blackfoot living	30	50
			184	SP22	No Need												Outside	Paid		Yes	working 40 	20	31	Married with child working 40 hrs/wk paid in CA living with family, with no need, with travel expense	40	#VALUE!	42	8
			625	SP22	No Need												Outside	Paid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk paid in MN with no need, but travel expense	40	 in MN	45	51
			500	SP22	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in MN with no need, with travel expense	40	 in MN	44	50
			184	SP22	No Need	Rexburg											Eastern Idaho	Paid			working 20 	8	19	Single working 20 hrs/wk paid in Rexburg with no need	20	 in Rexburg	30	41
			250	SP22	Need			Idaho Falls									Eastern Idaho	Paid			working 20 	8	19	Single working 20 hrs/wk paid in Idaho Falls with travel expense	20	 in Idaho Falls	30	45
			625	SP22	No Need												Outside	Paid			working 45-65 	8	22	Single working 45-65 hrs/wk paid in many locations with no need, with travel expense, with medium cost of living	65	 in many locations	33	51
			250	SP22	No Need												Outside	Paid		Yes	working 35 	9	20	Married working 35 hrs/wk paid in Nevada with no need, with travel expense	35	 in Nevada	31	41
			750	SP22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in AZ with no need, with travel expense and medium cost of living	40	 in AZ	31	37
			375	SP22	No Need												Outside	Unpaid		Yes	working 25 	9	20	Married working 25 hrs/wk unpaid remote with no need, with travel expense	25	#VALUE!	#VALUE!	40
			250	SP22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk Paid in PA with no need, with travel expense	40	 in PA	31	37
			184	SP22	No Need												Outside	Unpaid			working 23 	8	19	Single working 23 hrs/wk unpaid in CA living with family, with no need, with travel expense	23	 in CA living	32	45
			250	SP22	Need	Rexburg											Eastern Idaho	Paid			working 20 	8	19	Single working 20 hrs/wk paid in Rexburg with travel	20	 in Rexburg	30	41
			500	SP22	Need												Outside	Paid		Yes	working 20 	9	20	Married working 20 hrs/wk paid in Vicinr with travel expense	20	 in Vicinr	31	41
			1,500.00	SP22	Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in CA with travel expense	40	 in CA	31	37
			375	SP22	No Need			Idaho Falls									Eastern Idaho	Paid		Yes	working 30 	23	34	Married with children working 30 hrs/wk paid in Idaho falls, with no need, with travel expense	30	#VALUE!	45	8
			250	SP22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in LA with no need	40	 in LA	30	36
						204	32	97	11	1	4	7	4	7	1													
